NU_CNPJ_EMPRESA;NO_RAZAO_SOCIAL_EMPRESA;NO_PRODUTO;NU_PROCESSO;DS_TIPO_PRODUTO;DS_CATEGORIA_PRODUTO;DT_FINALIZACAO_PROCESSO;DT_VENCIMENTO_REGISTRO;ST_SITUACAO_REGISTRO
07064420000180;MERICLER IMPORTADORA LTDA;PUEBLO BLUE;25351659448201812;DERIVADOS DO TABACO;FUMO DE ROLO;;01/20/2021 00:00:00;Inativo
06863253000175;TOBACCONIST COMERCIO DE TABACOS LTDA;PUEBLO BLUE;25351492829202119;DERIVADOS DO TABACO;FUMO DESFIADO;;09/06/2022 00:00:00;Inativo
06863253000175;TOBACCONIST COMERCIO DE TABACOS LTDA;PUEBLO BLUE;25351248423202354;DERIVADOS DO TABACO;FUMO DESFIADO;;10/23/2024 00:00:00;Ativo
07064420000180;MERICLER IMPORTADORA LTDA;PUEBLO CLASSIC;25351659447201878;DERIVADOS DO TABACO;FUMO DE ROLO;;01/20/2021 00:00:00;Inativo
06863253000175;TOBACCONIST COMERCIO DE TABACOS LTDA;PUEBLO CLASSIC;25351525202202143;DERIVADOS DO TABACO;FUMO DESFIADO;;09/13/2022 00:00:00;Inativo
06863253000175;TOBACCONIST COMERCIO DE TABACOS LTDA;PUEBLO CLASSIC;25351248422202318;DERIVADOS DO TABACO;FUMO DESFIADO;;10/23/2024 00:00:00;Ativo
28274157000124;CIBRASA INDÚSTRIA E COMÉRCIO DE TABACOS S/A;PULLMAN;25351262889200823;DERIVADOS DO TABACO;CIGARRO COM FILTRO;;07/14/2009 00:00:00;Inativo
28274157000124;CIBRASA INDÚSTRIA E COMÉRCIO DE TABACOS S/A;PULLMAN;25351584757201099;DERIVADOS DO TABACO;CIGARRO COM FILTRO;;10/11/2011 00:00:00;Inativo
28274157000124;CIBRASA INDÚSTRIA E COMÉRCIO DE TABACOS S/A;PULLMAN;25351265241201265;DERIVADOS DO TABACO;CIGARRO COM FILTRO;;09/19/2013 00:00:00;Inativo
08201306000118;emporium cigars importação e comercialização de tabacos ltda;PUNCH;25351505569201017;DERIVADOS DO TABACO;CHARUTO;;11/29/2012 00:00:00;Inativo
37719480000155;707 COMERCIO DE PRODUTOS DE TABACARIA LTDA;PURO PITO;25351924787202008;DERIVADOS DO TABACO;CIGARRO DE PALHA;;11/09/2021 00:00:00;Inativo
17121200000103;RC PREMIUM COMERCIO IMPORTADORA E EXPORTADORA EIRELLI - EPP;PUROS;25351178770201470;DERIVADOS DO TABACO;CHARUTO;;05/26/2019 00:00:00;Inativo
12778043000181;Brasitra Cigarros Indústria e Comércio Ltda;QS BLUE;25069640285201717;DERIVADOS DO TABACO;CIGARRO COM FILTRO;;01/15/2019 00:00:00;Inativo
12778043000181;Brasitra Cigarros Indústria e Comércio Ltda;QS RED;25069640439201762;DERIVADOS DO TABACO;CIGARRO COM FILTRO;;01/15/2019 00:00:00;Inativo
08201306000118;emporium cigars importação e comercialização de tabacos ltda;QUINTERO;25351542542200861;DERIVADOS DO TABACO;CHARUTO;;10/03/2009 00:00:00;Inativo
08201306000118;emporium cigars importação e comercialização de tabacos ltda;QUINTERO;25351505409201008;DERIVADOS DO TABACO;CHARUTO;;11/29/2012 00:00:00;Inativo
08201306000118;emporium cigars importação e comercialização de tabacos ltda;QUINTERO;25351336676201362;DERIVADOS DO TABACO;CHARUTO;;09/25/2015 00:00:00;Inativo
25370137000169;MAREVA COMERCIALIZAÇÃO DE TABACO ME;QUINTERO;25351237558201916;DERIVADOS DO TABACO;CHARUTO;;04/05/2026 00:00:00;Inativo
25370137000169;MAREVA COMERCIALIZAÇÃO DE TABACO ME;QUINTERO NACIONALES;25351562230201613;DERIVADOS DO TABACO;CHARUTO;;05/02/2019 00:00:00;Inativo
07756070000113;Reality Cigars Comércio importação e exportação ltda. - epp;QUORUM MADURO CORONA;25351271307201617;DERIVADOS DO TABACO;CHARUTO;;09/26/2018 00:00:00;Inativo
07756070000113;Reality Cigars Comércio importação e exportação ltda. - epp;QUORUM ROBUSTO;25351184103201011;DERIVADOS DO TABACO;CHARUTO;;05/12/2015 00:00:00;Inativo
07756070000113;Reality Cigars Comércio importação e exportação ltda. - epp;QUORUM ROBUSTO;25351319873201542;DERIVADOS DO TABACO;CHARUTO;;12/31/2021 00:00:00;Inativo
24259866000180;BMCS COMERCIO IMPORTACAO E EXPORTACAO LTDA - ME;QUORUM ROBUSTO;25351070680202111;DERIVADOS DO TABACO;CHARUTO;;01/02/2024 00:00:00;Ativo
20901675000119;IBC-INDUSTRIA BRASILEIRA DE CIGARROS LTDA;R & Y BLUE;25351219912201609;DERIVADOS DO TABACO;CIGARRO COM FILTRO;;08/22/2017 00:00:00;Inativo
